"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","latitude","longitude","last_modified"
"1",12953823,6842707,"Entire home/apt",NA,7,0,0,7,3,454,NA,25.730872,-80.243382,"2017-04-07 13:25:31.822293"
"2",16031885,104164240,"Entire home/apt",NA,5,13,5,3,0,98,NA,25.77758,-80.136678,"2017-04-07 12:38:38.640341"
"3",16922403,36413982,"Entire home/apt",NA,3,5,5,3,0,150,NA,25.791547,-80.187856,"2017-04-07 12:55:06.826016"
"4",7264550,36360730,"Entire home/apt",NA,5,2,0,4,1,199,NA,25.845382,-80.119035,"2017-04-07 13:06:29.810010"
"5",6011964,2364392,"Entire home/apt",NA,3,2,0,2,1,195,NA,25.790562,-80.186957,"2017-04-07 13:06:17.446446"
"6",15352510,31294493,"Entire home/apt",NA,3,35,4,5,0,144,NA,25.792085,-80.185925,"2017-04-07 12:53:17.909758"
"7",10042739,23073452,"Entire home/apt",NA,5,17,5,4,0,350,NA,25.81728,-80.123483,"2017-04-07 13:28:12.834686"
"8",16769138,111325531,"Private room",NA,6,6,5,1,1,40,NA,25.751843,-80.25719,"2017-04-07 12:31:22.438067"
"9",4149220,5844348,"Private room",NA,3,37,5,2,1,62,NA,25.822791,-80.188294,"2017-04-07 12:31:58.309210"
"10",4391368,12076710,"Entire home/apt",NA,5,0,0,4,1,325,NA,25.7601,-80.195265,"2017-04-07 13:25:31.853812"
"11",9106257,447193,"Entire home/apt",NA,5,28,5,4,1,249,NA,25.770452,-80.131181,"2017-04-07 13:11:03.598391"
"12",17976496,65483886,"Entire home/apt",NA,5,0,0,2,0,96,NA,25.782067,-80.135287,"2017-04-07 12:37:45.266858"
"13",16366634,28217905,"Entire home/apt",NA,5,11,4.5,4,1,148,NA,25.768397,-80.189683,"2017-04-07 12:53:19.306786"
"14",10297022,40973148,"Entire home/apt",NA,6,0,0,2,1,175,NA,25.74814,-80.25822,"2017-04-07 12:53:20.219604"
"15",5182791,12764799,"Entire home/apt",NA,5,3,5,3,1,399,NA,25.799106,-80.125727,"2017-04-07 13:27:44.512836"
"16",14745799,52651623,"Entire home/apt",NA,5,0,0,4,1,139,NA,25.784966,-80.128771,"2017-04-07 12:49:56.418844"
