"","room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","property_type","last_modified","latitude","longitude","location"
"1",7674421,1129,40296713,"Private room",NA,"New York","Brooklyn","Crown Heights",1,NA,2,1,NA,55,NA,"Large Bedroom in Apt. Over Cute Bar","Apartment","2017-04-21 15:06:54.315044",40.673407,-73.962342,"0101000020E61000004E64E602977D52C0E0F2583332564440"
"2",9616729,1129,49754509,"Private room",NA,"New York","Brooklyn","Bedford-Stuyvesant",1,NA,1,1,NA,31,NA,"cute and cozy room in brooklyn","Apartment","2017-04-21 12:18:35.651532",40.689007,-73.950572,"0101000020E6100000921FF12BD67C52C087DBA16131584440"
"3",3310262,1129,725014,"Entire home/apt",NA,"New York","Brooklyn","Prospect Heights",1,NA,4,2,NA,150,NA,"Stunning views, high Floor 2BD in Prospect Heights","Apartment","2017-04-22 15:49:06.511563",40.673655,-73.965296,"0101000020E61000006ABDDF68C77D52C0B8E4B8533A564440"
"4",16461274,1129,45792947,"Private room",NA,"New York","Brooklyn","Bushwick",13,5,6,1,NA,110,NA,"Fantastic Private Room 15 min to Manhattan","Apartment","2017-04-22 00:45:58.467176",40.700901,-73.940551,"0101000020E6100000164ED2FC317C52C0EA5DBC1FB7594440"
"5",3017320,1129,10364678,"Private room",NA,"New York","Manhattan","Inwood",52,4,2,1,NA,45,NA,"Dani private room in Manhattan","Apartment","2017-04-21 13:41:41.591880",40.867858,-73.920769,"0101000020E6100000EC8A19E1ED7A52C036C98FF8156F4440"
"6",8841107,1129,21332287,"Entire home/apt",NA,"New York","Brooklyn","Park Slope",0,NA,2,1,NA,135,NA,"Beautiful and Homey Enclave","Apartment","2017-04-22 12:59:34.789340",40.671291,-73.982775,"0101000020E6100000E4141DC9E57E52C0B08C0DDDEC554440"
"7",4693604,1129,688147,"Private room",NA,"New York","Brooklyn","Prospect Heights",2,NA,1,1,NA,40,NA,"Private rm in warm artsy Brklyn apt","Apartment","2017-04-21 12:26:36.912974",40.68023,-73.96618,"0101000020E61000002783A3E4D57D52C009E1D1C611574440"
"8",382524,1129,732535,"Private room",NA,"New York","Manhattan","Harlem",7,5,4,1,NA,165,NA,"Cozy room with private bathroom & outside garden","Bed & Breakfast","2017-04-22 02:59:58.763550",40.803337,-73.948048,"0101000020E610000072C284D1AC7C52C058552FBFD3664440"
"9",12250653,1129,20043119,"Private room",NA,"New York","Brooklyn","Clinton Hill",2,NA,2,1,NA,30,NA,"Large Room in Artsy Apartment","Apartment","2017-04-21 12:18:30.162795",40.688095,-73.96281,"0101000020E6100000C190D5AD9E7D52C043C5387F13584440"
"10",15769055,1129,67084447,"Entire home/apt",NA,"New York","Manhattan","Theater District",1,NA,3,1,NA,125,NA,"Upscale Midtown One Bedroom Condo","Apartment","2017-04-22 12:51:17.673679",40.761796,-73.983613,"0101000020E6100000E9BAF083F37E52C09F1C058882614440"
"11",9730306,1129,12995725,"Private room",NA,"New York","Manhattan","Hell's Kitchen",0,NA,1,1,NA,95,NA,"24/7 DM Large Bedroom in Midtown","Apartment","2017-04-21 22:02:34.293517",40.765749,-73.985391,"0101000020E610000075B169A5107F52C0ECF82F1004624440"
"12",17973686,1129,11478291,"Entire home/apt",NA,"New York","Queens","Rego Park",15,5,3,0,NA,31,NA,"Contemporary Private Studio, 25 min to Manhattan","Townhouse","2017-04-22 06:32:34.597196",40.729624,-73.859101,"0101000020E61000007FBDC282FB7652C03830B951645D4440"
"13",4988687,1129,25720293,"Entire home/apt",NA,"New York","Manhattan","Chelsea",11,5,2,1,NA,549,NA,"Chelsea Oasis 1 Bedroom Brownstone","Apartment","2017-04-24 11:37:08.301852",40.744811,-74.001485,"0101000020E6100000D09B8A54188052C0BC5983F7555F4440"
"14",12152334,1129,2100282,"Private room",NA,"New York","Queens","Sunnyside",10,5,2,1,NA,95,NA,"Easy 25 Min Subway Ride to Manhattan.","Apartment","2017-04-21 21:51:40.671093",40.745209,-73.919186,"0101000020E61000003A3C84F1D37A52C0AAD72D02635F4440"
"15",10879246,1129,50843990,"Entire home/apt",NA,"New York","Manhattan","Murray Hill",2,NA,2,1,NA,200,NA,"Spacious one bedroom apartment","Apartment","2017-04-22 18:48:08.439294",40.746539,-73.970876,"0101000020E61000002A1E17D5227E52C0221807978E5F4440"
