"","room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","last_modified","latitude","longitude","location"
"1",6543513,1112,16718948,"Entire home/apt",NA,"Nashville",NA,6,4,5,6,3,NA,600,NA,"2017-04-13 14:33:09.019423",36.179449,-86.748372,"0101000020E61000007F4FAC53E5AF55C06326512FF8164240"
"2",7072267,1112,36144864,"Entire home/apt",NA,"Nashville",NA,16,74,4.5,4,2,NA,115,NA,"2017-04-13 13:39:28.188890",36.12009,-86.73652,"0101000020E61000006536C82423AF55C0CF49EF1B5F0F4240"
"3",11421095,1112,36743002,"Entire home/apt",NA,"Nashville",NA,6,99,5,4,2,NA,87,NA,"2017-04-13 13:32:11.015273",36.166201,-86.740848,"0101000020E6100000A6D3BA0D6AAF55C000C8091346154240"
"4",7759892,1112,40803056,"Entire home/apt",NA,"Nashville",NA,19,83,5,4,1,NA,145,NA,"2017-04-13 13:43:14.731425",36.148001,-86.795818,"0101000020E61000005CE49EAEEEB255C03D635FB2F1124240"
"5",16310441,1112,102202510,"Entire home/apt",NA,"Nashville",NA,6,0,NA,12,4,NA,265,NA,"2017-04-13 13:55:01.477020",36.191084,-86.735792,"0101000020E6100000242A543717AF55C0F964C57075184240"
"6",1557535,1112,8291189,"Entire home/apt",NA,"Nashville",NA,7,25,5,12,4,NA,675,NA,"2017-04-13 14:33:10.561266",36.22637,-86.709687,"0101000020E61000005ED905836BAD55C0D46531B1F91C4240"
"7",15189035,1112,37906079,"Entire home/apt",NA,"Nashville",NA,7,27,5,9,3,NA,180,NA,"2017-04-13 13:43:38.372411",36.203912,-86.71238,"0101000020E6100000C49448A297AD55C088A1D5C9191A4240"
"8",16621788,1112,106505883,"Entire home/apt",NA,"Nashville",NA,17,2,NA,8,4,NA,222,NA,"2017-04-13 13:56:38.454998",36.145878,-86.787044,"0101000020E6100000D520CCED5EB255C05B9A5B21AC124240"
"9",4821009,1112,6855810,"Entire home/apt",NA,"Nashville",NA,18,9,4.5,12,4,NA,199,NA,"2017-04-13 13:54:45.129961",36.135025,-86.80963,"0101000020E610000012F758FAD0B355C03A92CB7F48114240"
"10",6627355,1112,34688257,"Entire home/apt",NA,"Nashville",NA,5,26,5,3,2,NA,95,NA,"2017-04-13 13:32:20.401191",36.1891,-86.771818,"0101000020E6100000B41D537765B155C039D6C56D34184240"
"11",17813407,1112,6675690,"Entire home/apt",NA,"Nashville",NA,19,0,NA,4,1,NA,150,NA,"2017-04-13 13:43:20.183542",36.173191,-86.779958,"0101000020E61000003A90F5D4EAB155C0147B681F2B164240"
"12",6589904,1112,34472528,"Entire home/apt",NA,"Nashville",NA,17,0,NA,3,1,NA,200,NA,"2017-04-13 13:58:20.110170",36.123262,-86.777589,"0101000020E6100000AE2EA704C4B155C0766B990CC70F4240"
"13",15563701,1112,36832217,"Entire home/apt",NA,"Nashville",NA,17,2,NA,10,3,NA,567,NA,"2017-04-13 14:33:05.126386",36.137681,-86.766074,"0101000020E610000038143E5B07B155C0EA23F0879F114240"
"14",6851054,1112,35898362,"Entire home/apt",NA,"Nashville",NA,19,0,NA,3,1,NA,200,NA,"2017-04-13 13:54:47.229764",36.160169,-86.789186,"0101000020E6100000821DFF0582B255C0A16AF46A80144240"
