"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","latitude","longitude","last_modified"
"1",7349847,32342693,"Entire home/apt",NA,"WISSAHICKON",0,0,10,5,800,NA,40.021693,-75.214768,"2017-04-07 18:12:43.736642"
"2",16641376,14113441,"Private room",NA,"WASHINGTON_SQUARE",0,0,2,1,100,NA,39.946407,-75.164849,"2017-04-07 17:18:55.039873"
"3",6590361,16022846,"Entire home/apt",NA,"CENTER_CITY",8,5,5,1,150,NA,39.953221,-75.15588,"2017-04-07 17:36:00.527474"
"4",7881415,38361896,"Entire home/apt",NA,"EAST_PASSYUNK",0,0,5,2,300,NA,39.92876,-75.157434,"2017-04-07 17:41:28.678816"
"5",8045150,10678819,"Entire home/apt",NA,"OLD_CITY",0,0,4,1,500,NA,39.950659,-75.142817,"2017-04-07 17:51:28.175594"
"6",13317938,75299144,"Entire home/apt",NA,"MAYFAIR",47,4.5,6,2,65,NA,40.026747,-75.082125,"2017-04-07 17:30:45.134352"
"7",5386499,27923138,"Entire home/apt",NA,"NORTHERN_LIBERTIES",0,0,4,2,1400,NA,39.961061,-75.141574,"2017-04-07 18:24:06.369969"
"8",7428609,38438250,"Private room",NA,"BELLA_VISTA",147,4.5,2,1,40,NA,39.937395,-75.158991,"2017-04-07 17:05:10.211591"
"9",7105588,37226990,"Entire home/apt",NA,"ROXBOROUGH",0,0,6,3,1000,NA,40.035942,-75.221457,"2017-04-07 18:12:45.936863"
"10",5933054,52478,"Entire home/apt",NA,"ROXBOROUGH",0,0,6,3,600,NA,40.026578,-75.214679,"2017-04-07 18:01:42.670341"
"11",2818101,13691077,"Private room",NA,"PASSYUNK_SQUARE",108,4,2,1,45,NA,39.931761,-75.15846,"2017-04-07 17:08:41.763583"
"12",6957615,15091881,"Entire home/apt",NA,"MOUNT_AIRY_WEST",78,5,4,0,70,NA,40.055492,-75.190161,"2017-04-07 17:30:46.416254"
"13",14428985,70726785,"Entire home/apt",NA,"GRADUATE_HOSPITAL",25,5,2,1,85,NA,39.944534,-75.180322,"2017-04-07 17:31:16.458006"
"14",7781619,40943888,"Entire home/apt",NA,"RIVERFRONT",0,0,4,1,1200,NA,39.95402,-75.138324,"2017-04-07 18:23:44.323583"
"15",13082478,2921076,"Entire home/apt",NA,"NEWBOLD",8,4.5,3,1,100,NA,39.929601,-75.170646,"2017-04-07 17:31:29.929749"
"16",16767078,1562505,"Entire home/apt",NA,"WASHINGTON_SQUARE",3,5,2,1,50,NA,39.948306,-75.164203,"2017-04-07 17:29:57.573641"
"17",10790927,55840762,"Private room",NA,"WASHINGTON_SQUARE",56,4.5,2,1,79,NA,39.951288,-75.160649,"2017-04-07 17:13:57.697654"
