"","room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","last_modified","latitude","longitude","location"
"1",16394482,1047,13711542,"Entire home/apt",NA,"Washington",NA,"Downtown",0,0,4,1,NA,500,NA,"2017-04-09 01:57:41.265836",38.90603,-77.034557,"0101000020E61000004436902E364253C0F29881CAF8734340"
"2",13620848,1047,19201561,"Entire home/apt",NA,"Washington",NA,"South West",2,0,4,1,NA,78,NA,"2017-04-08 23:40:05.941505",38.880825,-77.016162,"0101000020E6100000075C57CC084153C0E63FA4DFBE704340"
"3",17699981,1047,118082368,"Entire home/apt",NA,"Washington",NA,"Capitol Hill",0,0,3,1,NA,160,NA,"2017-04-09 00:47:34.776592",38.90469,-77.007192,"0101000020E6100000BE326FD5754053C05682C5E1CC734340"
"4",2939650,1047,9285851,"Private room",NA,"Washington",NA,"Brentwood",57,4.5,2,1,NA,55,NA,"2017-04-08 22:54:28.496799",38.920393,-77.000548,"0101000020E610000001857AFA084053C0D13B1570CF754340"
"5",16442548,1047,17920253,"Entire home/apt",NA,"Washington",NA,"U Street Corridor",3,4.5,6,2,NA,150,NA,"2017-04-09 00:48:19.051971",38.919655,-77.027624,"0101000020E61000006C257497C44153C02B4D4A41B7754340"
"6",409582,1047,2038963,"Entire home/apt",NA,"Washington",NA,"Capitol Hill",300,5,5,1,NA,159,NA,"2017-04-09 00:52:49.215319",38.882767,-76.994038,"0101000020E6100000CD3E8F519E3F53C0787E5182FE704340"
"7",15052582,1047,15058204,"Entire home/apt",NA,"Washington",NA,"Shaw",6,5,2,0,NA,89,NA,"2017-04-08 23:46:49.819818",38.909156,-77.022493,"0101000020E6100000E4D87A86704153C0297B4B395F744340"
"8",16310744,1047,494008,"Entire home/apt",NA,"Washington",NA,"Capitol Hill",1,0,6,2,NA,700,NA,"2017-04-09 02:23:00.233214",38.881949,-76.992138,"0101000020E61000009BC761307F3F53C0B5DE6FB4E3704340"
"9",4484805,1047,15768877,"Private room",NA,"Washington",NA,"Capitol Hill",58,5,1,1,NA,85,NA,"2017-04-08 23:13:51.756018",38.886473,-76.994232,"0101000020E6100000BF28417FA13F53C0BDE47FF277714340"
"10",16016420,1047,20654826,"Private room",NA,"Washington",NA,"Fort Totten-Upper Northeast",2,0,2,1,NA,65,NA,"2017-04-08 23:01:19.612928",38.954786,-77.018441,"0101000020E6100000F4F928232E4153C0DE567A6D367A4340"
"11",11041869,1047,37811920,"Entire home/apt",NA,"Washington",NA,"Shaw",8,5,6,2,NA,450,NA,"2017-04-09 01:57:42.793963",38.909822,-77.02289,"0101000020E6100000F3599E07774153C035971B0C75744340"
"12",17074602,1047,30283594,"Entire home/apt",NA,"Washington",NA,"Capitol Hill",0,0,3,1,NA,289,NA,"2017-04-09 01:32:00.076112",38.877299,-77.008517,"0101000020E6100000711DE38A8B4053C021E868554B704340"
"13",13529874,1047,75720076,"Entire home/apt",NA,"Washington",NA,"Ledroit Park",30,5,2,0,NA,57,NA,"2017-04-08 23:38:59.680849",38.913425,-77.011929,"0101000020E6100000EF37DA71C34053C0A52C431CEB744340"
"14",13428556,1047,47988973,"Entire home/apt",NA,"Washington",NA,"Dupont Circle",35,4.5,4,1,NA,100,NA,"2017-04-08 23:47:05.500021",38.915038,-77.039846,"0101000020E610000017B83CD68C4253C0734C16F71F754340"
"15",5589,1047,6527,"Entire home/apt",NA,"Washington",NA,"Adams Morgan",56,4.5,4,1,NA,100,NA,"2017-04-08 23:47:09.968850",38.919327,-77.041238,"0101000020E61000008F56B5A4A34253C037AAD381AC754340"
"16",2648427,1047,4148646,"Entire home/apt",NA,"Washington",NA,"Deanwood",4,4,9,5,NA,510,NA,"2017-04-09 02:22:07.976994",38.89914,-76.944952,"0101000020E61000008C12F4177A3C53C04243FF0417734340"
"17",11552863,1047,60993003,"Entire home/apt",NA,"Washington",NA,"Capitol Hill",2,0,4,2,NA,100,NA,"2017-04-08 23:48:17.557621",38.880422,-77.006994,"0101000020E61000002B51F696724053C0E75608ABB1704340"
"18",6965353,1047,18091352,"Entire home/apt",NA,"Washington",NA,"Chevy Chase",63,5,4,2,NA,110,NA,"2017-04-09 00:07:50.542110",38.951825,-77.059245,"0101000020E6100000E65C8AABCA4353C0F241CF66D5794340"
"19",16597324,1047,109481505,"Private room",NA,"Washington",NA,"Petworth",1,0,2,1,NA,125,NA,"2017-04-08 23:21:24.969188",38.951039,-77.03111,"0101000020E61000000725CCB4FD4153C03B1C5DA5BB794340"
"20",15423639,1047,98854565,"Entire home/apt",NA,"Washington",NA,"Downtown",0,0,5,1,NA,250,NA,"2017-04-09 01:28:29.171350",38.896423,-77.021729,"0101000020E6100000FC170802644153C0EC3026FDBD724340"
"21",17431640,1047,82207769,"Entire home/apt",NA,"Washington",NA,"Petworth",6,4.5,3,1,NA,83,NA,"2017-04-08 23:44:46.658997",38.939788,-77.026921,"0101000020E6100000D7A4DB12B94153C02D9622F94A784340"
"22",3827715,1047,6357642,"Entire home/apt",NA,"Washington",NA,"Columbia Heights",50,5,4,1,NA,100,NA,"2017-04-08 23:46:04.892548",38.928605,-77.029234,"0101000020E61000009A7B48F8DE4153C077F35487DC764340"
"23",7580779,1047,28011820,"Entire home/apt",NA,"Washington",NA,"Adams Morgan",35,4.5,6,2,NA,159,NA,"2017-04-09 00:49:25.153699",38.916159,-77.043221,"0101000020E610000007600322C44253C0D177B7B244754340"
"24",16577009,1047,19255332,"Entire home/apt",NA,"Washington",NA,"Adams Morgan",0,0,3,1,NA,800,NA,"2017-04-09 02:24:33.042215",38.917355,-77.042165,"0101000020E61000004B02D4D4B24253C03AE97DE36B754340"
"25",16353639,1047,1624394,"Entire home/apt",NA,"Washington",NA,"Catholic University-Brookland",0,0,10,4,NA,650,NA,"2017-04-09 02:21:53.102384",38.93862,-77.018717,"0101000020E610000045B8C9A8324153C08EAF3DB324784340"
"26",16620440,1047,46722229,"Entire home/apt",NA,"Washington",NA,"Fort Totten-Upper Northeast",0,0,3,0,NA,40,NA,"2017-04-08 23:38:55.161299",38.966712,-77.007604,"0101000020E610000067D47C957C4053C04C530438BD7B4340"
"27",12709221,1047,14700088,"Entire home/apt",NA,"Washington",NA,"Brightwood",3,5,3,1,NA,90,NA,"2017-04-08 23:45:19.006311",38.97079,-77.034284,"0101000020E6100000ABB184B5314253C055A4C2D8427C4340"
"28",1965122,1047,3330273,"Entire home/apt",NA,"Washington",NA,"Capitol Hill",115,5,4,0,NA,88,NA,"2017-04-08 23:44:59.344396",38.890416,-76.989529,"0101000020E6100000645C7171543F53C0E6EAC726F9714340"
"29",16118816,1047,3685983,"Entire home/apt",NA,"Washington",NA,"Logan Circle",1,0,4,1,NA,500,NA,"2017-04-09 01:57:45.535526",38.906405,-77.02951,"0101000020E6100000EB39E97DE34153C027F73B1405744340"
"30",16294941,1047,41900592,"Entire home/apt",NA,"Washington",NA,"Adams Morgan",0,0,3,2,NA,975,NA,"2017-04-09 02:24:22.724145",38.91875,-77.041251,"0101000020E610000059FB3BDBA34253C09A99999999754340"
"31",12780527,1047,2131753,"Entire home/apt",NA,"Washington",NA,"Foggy Bottom",3,4,3,0,NA,136,NA,"2017-04-09 00:30:51.935550",38.902019,-77.052102,"0101000020E61000009983A0A3554353C071AFCC5B75734340"
"32",2520807,1047,6040794,"Entire home/apt",NA,"Washington",NA,"Brentwood",2,0,4,2,NA,150,NA,"2017-04-09 00:49:50.896956",38.922175,-76.983509,"0101000020E61000009694BBCFF13E53C02B1895D409764340"
"33",5747720,1047,29814693,"Entire home/apt",NA,"Washington",NA,"Dupont Circle",7,4.5,2,1,NA,199,NA,"2017-04-09 01:21:56.152174",38.914082,-77.042795,"0101000020E6100000AB5B3D27BD4253C05FEE93A300754340"
"34",5495901,1047,1819904,"Entire home/apt",NA,"Washington",NA,"Stadium-Armory",5,5,4,1,NA,75,NA,"2017-04-08 23:39:25.259455",38.887439,-76.979334,"0101000020E610000018778368AD3E53C0F418E59997714340"
